,0
39,https://www.spiegel.de/kultur/harry-potter-und-das-verwunschene-kind-in-hamburg-erneut-verschoben-a-f28ef96f-2053-4aba-8a46-ace104fc7c5a
40,https://www.spiegel.de/kultur/musik/ludwig-van-beethovens-250-geburtstag-der-komponist-zur-corona-krise-a-00000000-0002-0001-0000-000174196929
41,https://www.spiegel.de/kultur/literatur/john-green-bewertet-seinen-alltag-der-corona-pandemie-gebe-ich-vier-sterne-a-a2637d94-0002-0001-0000-000177514671
42,https://www.spiegel.de/kultur/tv/zdf-oliver-welke-moderiert-nicht-bei-em-2021-und-wm-2022-heute-show-statt-fussball-a-61f8af39-d10c-48c4-aba4-0321c7806155
43,https://www.spiegel.de/kultur/tv/david-hasselhoff-spielt-in-rtl-serie-ze-network-sich-selbst-a-f043b439-479b-4a08-b976-95aad198f19d
44,https://www.spiegel.de/kultur/tv/bild-plant-eigenen-fernsehsender-start-vor-bundestagswahl-angestrebt-a-d4bfae1e-274f-4da8-9e70-7a93ad478474
45,https://www.spiegel.de/kultur/musik/mehr-vinyl-schallplatten-als-cds-verkauft-in-den-usa-zuletzt-1986-a-945e7608-de92-450d-88e4-38a423ba7d97
46,https://www.spiegel.de/kultur/tv/sommerhaus-der-stars-welches-paar-ist-jetzt-das-ekelhafteste-a-1c777230-4a49-407a-8411-3569fc0c4e41
47,https://www.spiegel.de/kultur/tv/nach-blackfacing-sketch-br-nimmt-satire-figur-aus-dem-programm-a-0096f31a-c4a7-44b6-802e-0fdfbe2f0d97
48,https://www.spiegel.de/kultur/kino/steven-spielberg-plant-einen-film-ueber-die-eigene-jugend-a-8876679b-5519-4718-8e9e-71ef8a0abd01
49,https://www.spiegel.de/kultur/bbc-ernennt-neuen-boss-a-ceb603d6-6083-43e2-9f07-cacc9438b6cf
50,https://www.spiegel.de/kultur/kino/und-morgen-die-ganze-welt-im-kino-bleierne-zeiten-a-5e079bb8-3fab-44f1-a505-19df36e77167
51,https://www.spiegel.de/kultur/mavie-hoerbiger-ueber-100-jahre-salzburger-festspiele-heute-ist-salzburg-mittelpunkt-der-welt-a-348a1a94-7860-4587-96a0-ad8ee7dbf381
52,https://www.spiegel.de/kultur/literatur/cartoons-der-woche-von-thomas-plassmann-und-klaus-stuttmann-a-06ab765e-7726-4d64-89e6-45b87d5f75cd
53,https://www.spiegel.de/kultur/kolumne-ich-bin-sauer-auf-jens-spahn-a-54253634-4c8f-47c4-b787-de1649beff9a
54,https://www.spiegel.de/kultur/literatur/hey-hey-hey-taxi-von-sasa-stanisic-buchpreistraegerquatsch-a-eed52116-1cb8-4ad7-b20d-d0feda85df0b
55,https://www.spiegel.de/kultur/meinungs-app-the-buzzard-alles-laesst-sich-immer-so-oder-so-sehen-a-15d48b5f-aa26-4fba-a852-0a7af398be98
56,https://www.spiegel.de/kultur/tv/deutsche-fernsehballett-keine-abschiedstour-ende-schon-2020-a-bdf72435-86cb-48df-ba1e-921c71d3cbee
57,https://www.spiegel.de/kultur/literatur/zadie-smith-ueber-rassismus-das-virus-der-verachtung-a-b652bf6d-fe15-494f-ae06-2cc4f9d6bb2e
58,https://www.spiegel.de/kultur/tv/jens-spahn-zu-corona-impfungen-bei-maischberger-kleiner-als-kleiner-als-kleiner-als-wir-haben-kein-problem-mit-der-menge-a-2c98f2fd-f976-4a81-8a70-e0a42f8fc747
59,https://www.spiegel.de/kultur/musik/esc-2021-so-lief-das-zweite-halbfinale-des-eurovision-song-contest-a-616a9525-ecdf-409d-8ee4-d76ed065516d
60,https://www.spiegel.de/kultur/phil-spector-inhaftierter-us-musikproduzent-gestorben-a-bee5812d-3ffd-4a2d-b7e1-0bff8ebc6b79
61,https://www.spiegel.de/kultur/musik/grammy-nominierungen-beyonce-9-dua-lipa-roddy-ricch-taylor-swift-6-a-3fea290c-d65e-4d6e-9855-6f09dfc164a7
62,https://www.spiegel.de/kultur/gotthilf-fischer-ist-tot-der-gruender-der-fischer-choere-a-82c9a4ca-58b6-4b3d-970f-0baf77282835
63,https://www.spiegel.de/kultur/kino/supernova-mit-colin-firth-und-stanley-tucci-russland-zeigt-film-nun-doch-mit-schwuler-sexszene-a-dce02712-a3bf-4fac-896d-d2d045683c3b
64,https://www.spiegel.de/kultur/kritik-an-gender-sprache-abenteuerliche-duden-kreationen-a-846e042d-dfa9-4077-a16d-9adb2f258322
65,https://www.spiegel.de/kultur/tv/karl-dall-rote-rosen-dreh-wegen-verdacht-auf-schlaganfall-unterbrochen-a-2c7b5c6b-3112-42cb-9106-196c087d379e
66,https://www.spiegel.de/kultur/musik/rapperin-nura-ueber-erfolg-trotz-sexismus-ich-habe-hardcore-rasiert-a-a7c2274f-3ac4-44ba-a9c3-624ef2fbc875
67,https://www.spiegel.de/kultur/tv/muetter-machen-porno-bei-sat-1-kaffeekraenzchen-mit-youporn-a-67a2a3bb-ccdb-4e56-baa6-b5327c86f82f
68,https://www.spiegel.de/kultur/irm-hermann-ueber-rainer-werner-fassbinder-und-ihre-anfaenge-als-schauspielerin-a-22e2f8b9-3cc9-4270-a64c-1fbb492f0492
69,https://www.spiegel.de/kultur/tv/dieter-bohlen-steigt-sofort-bei-dsds-aus-a-5c0395dd-276e-4a35-b297-6883cef96a9f
70,https://www.spiegel.de/kultur/kino/britischer-filmpreis-bafta-nomadland-von-chloe-zhao-als-bester-film-ausgezeichnet-a-17ceced2-0b0e-40b5-a3b5-4312702fe613
71,https://www.spiegel.de/kultur/berghain-in-berlin-zeigt-kunst-ausstellung-aufblasbarer-penis-a-5994dd55-6be6-45a0-a6b3-6a02c7e50bd0
72,https://www.spiegel.de/kultur/mordlust-gemischtes-hack-fest-und-flauschig-das-erfolgsgeheimnis-der-podcast-koenige-a-00000000-0002-0001-0000-000174544092
73,https://www.spiegel.de/kultur/rundfunkgebuehren-spd-warnt-cdu-vor-nein-zu-hoeherem-beitrag-a-6584a706-de5e-461f-9714-30f08b1628df
74,https://www.spiegel.de/kultur/oscar-nominierungen-fuer-mank-one-night-in-miami-tenet-a-e46024f1-7a41-4b21-a260-4d04fa54f92f
75,https://www.spiegel.de/kultur/china-auslaendische-journalisten-beklagen-rapiden-rueckgang-der-medienfreiheit-a-24d4517f-b142-4cd0-b57e-329e1eb69355
76,https://www.spiegel.de/kultur/legos-neues-diversity-set-normalerweise-lachen-die-immer-alle-das-nervt-auch-a-075c8aec-9a43-48c1-9a31-18ae59136b79
77,https://www.spiegel.de/kultur/kino/ma-rainey-s-black-bottom-letzter-film-mit-chadwick-boseman-kritik-a-a0752a5e-b1f6-4882-b226-b13178c16c42
78,https://www.spiegel.de/kultur/tv/hart-aber-fair-zur-corona-jugend-das-ist-kein-generationenkonflikt-zwischen-party-und-sterben-a-f97ba4b5-799c-41c6-bd44-80a759ba0982
79,https://www.spiegel.de/kultur/christian-drosten-erhaelt-fuer-virus-podcast-den-deutschen-radiopreis-a-4edca97f-4c7a-440c-b431-95181e32a85f
80,https://www.spiegel.de/kultur/tv/the-come-rule-neue-showtime-serie-zeichnet-trumps-comey-skandal-nach-a-f735337d-dfba-45a1-9a48-9f5c77f8b751
81,https://www.spiegel.de/kultur/anneliese-friedmann-sz-gesellschafterin-und-herausgeberin-der-muenchner-abendzeitung-gestorben-a-dc8124f5-3dcc-43ae-b768-e5b9f8f1c7d5
82,https://www.spiegel.de/kultur/literatur/star-trek-star-george-takei-ueber-seinen-comic-they-called-us-enemy-a-7e8b63fb-f8a3-441f-9de6-9b6b52440cae
83,https://www.spiegel.de/kultur/musik/doku-framing-britney-spears-fuer-immer-eingesperrt-a-c22a6e92-7cf3-448f-be1d-37394023d47c
84,https://www.spiegel.de/kultur/tv/the-mole-wem-kannst-du-trauen-zwischen-vertrauen-und-verdacht-a-1fd0a131-4538-4465-86f1-c3926e461b1b
85,https://www.spiegel.de/kultur/tv/talkrunden-wie-die-letzte-instanz-die-karikatur-einer-diskussion-a-27d5a566-30f7-4858-b311-d2637145fc27
